sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Leage of Legends,fearx_nongshim_redforce_jul_24,jul_24,fearx,1.45,nongshim_redforce,2.62,,lck,match_winner,2024_07_24
Leage of Legends,oh_my_god_ultra_prime_jul_24,jul_24,oh_my_god,1.43,ultra_prime,2.76,,lpl,match_winner,2024_07_24
Leage of Legends,oksavingsbank_brion_gen_g_jul_24,jul_24,oksavingsbank_brion,19.51,gen_g,1.01,,lck,match_winner,2024_07_24
Leage of Legends,lng_jd_gaming_jul_24,jul_24,lng,2.09,jd_gaming,1.73,,lpl,match_winner,2024_07_24
Leage of Legends,besiktas_dark_passage_jul_24,jul_24,besiktas,1.40,dark_passage,2.64,,tcl,match_winner,2024_07_24
Leage of Legends,zero_tenacity_back2thegame_jul_24,jul_24,zero_tenacity,1.14,back2thegame,4.71,,ultraliga,match_winner,2024_07_24
Leage of Legends,ramboot_giantx_pride_jul_24,jul_24,ramboot,1.35,giantx_pride,2.84,,lvp_superliga,match_winner,2024_07_24
Leage of Legends,bk_rog_team_go_jul_24,jul_24,bk_rog,1.29,team_go,3.16,,lfl,match_winner,2024_07_24
Leage of Legends,mcon_zennit_jul_24,jul_24,mcon,1.43,zennit,2.49,,elite_series,match_winner,2024_07_24
Leage of Legends,bnk_fearx_youth_nongshim_redforce_academy_jul_25,jul_25,bnk_fearx_youth,1.35,nongshim_redforce_academy,2.86,,lck_cl,match_winner,2024_07_24
Leage of Legends,kt_rolster_challengers_t1_academy_jul_25,jul_25,kt_rolster_challengers,1.34,t1_academy,2.91,,lck_cl,match_winner,2024_07_24
Leage of Legends,rare_atom_team_we_jul_25,jul_25,rare_atom,2.05,team_we,1.75,,lpl,match_winner,2024_07_24
Leage of Legends,kwangdong_freecs_hanwha_life_jul_25,jul_25,kwangdong_freecs,7.47,hanwha_life,1.07,,lck,match_winner,2024_07_24
Leage of Legends,thundertalk_young_miaojing_jul_25,jul_25,thundertalk_young,2.29,miaojing,1.52,,ldl,match_winner,2024_07_24
Leage of Legends,invictus_royal_never_give_up_jul_25,jul_25,invictus,1.63,royal_never_give_up,2.23,,lpl,match_winner,2024_07_24
Leage of Legends,dplus_kia_drx_jul_25,jul_25,dplus_kia,1.07,drx,7.78,,lck,match_winner,2024_07_24
Leage of Legends,weibo_lgd_jul_25,jul_25,weibo,1.36,lgd,3.06,,lpl,match_winner,2024_07_24
Leage of Legends,papara_supermassive_boostgate_jul_25,jul_25,papara_supermassive,1.05,boostgate,7.29,,tcl,match_winner,2024_07_24
Leage of Legends,nord_dmg_jul_25,jul_25,nord,1.15,dmg,4.56,,nlc,match_winner,2024_07_24
Leage of Legends,bar_a_los_heretics_jul_25,jul_25,bar_a,2.64,los_heretics,1.39,,lvp_superliga,match_winner,2024_07_24
Leage of Legends,bds_academy_karmine_corp_blue_jul_25,jul_25,bds_academy,1.51,karmine_corp_blue,2.32,,lfl,match_winner,2024_07_24
Leage of Legends,sk_prime_unicorns_of_love_sexy_edition_jul_25,jul_25,sk_prime,1.48,unicorns_of_love_sexy_edition,2.40,,prime_league_1st_division,match_winner,2024_07_24
Leage of Legends,forsaken_grp_jul_25,jul_25,forsaken,1.08,grp,6.05,,ultraliga,match_winner,2024_07_24
