sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Dota 2,dandelions_hryvnia_jul_22,jul_22,dandelions,1.75,hryvnia,9.05,2.31,lb_masters,match_winner_1x2_,2024_07_22
Dota 2,tea_night_pulse_jul_22,jul_22,tea,1.90,night_pulse,1.78,,res_regional_series_europe,match_winner,2024_07_22
Dota 2,dms_l1ga_jul_22,jul_22,dms,7.22,l1ga,1.98,2.11,lb_masters,match_winner_1x2_,2024_07_22
Dota 2,dandelions_one_move_jul_22,jul_22,dandelions,1.54,one_move,2.28,,res_regional_series_europe,match_winner,2024_07_22
Leage of Legends,supernova_flyquest_nzxt_jul_22,jul_22,supernova,2.82,flyquest_nzxt,1.35,,nacl,match_winner,2024_07_22
Leage of Legends,t1_academy_nongshim_redforce_academy_jul_22,jul_22,t1_academy,1.24,nongshim_redforce_academy,3.51,,lck_cl,match_winner,2024_07_22
Leage of Legends,dplus_kia_challengers_kwangdong_freecs_challengers_jul_22,jul_22,dplus_kia_challengers,1.38,kwangdong_freecs_challengers,2.71,,lck_cl,match_winner,2024_07_22
Leage of Legends,ground_zero_bliss_jul_22,jul_22,ground_zero,1.03,bliss,8.33,,lco,match_winner,2024_07_22
Leage of Legends,royal_never_give_up_rare_atom_jul_22,jul_22,royal_never_give_up,3.75,rare_atom,1.26,,lpl,match_winner,2024_07_22
Leage of Legends,kt_rolster_challengers_drx_challengers_jul_22,jul_22,kt_rolster_challengers,1.11,drx_challengers,5.39,,lck_cl,match_winner,2024_07_22
Leage of Legends,thundertalk_edward_gaming_jul_22,jul_22,thundertalk,1.49,edward_gaming,2.59,,lpl,match_winner,2024_07_22
Leage of Legends,fnatic_g2_jul_22,jul_22,fnatic,2.99,g2,1.36,,lec,match_winner,2024_07_22
Leage of Legends,pain_academy_liberty_academy_jul_22,jul_22,pain_academy,1.07,liberty_academy,6.64,,cblol_academy,match_winner,2024_07_22
Leage of Legends,rise_ilha_das_lendas_jul_22,jul_22,rise,1.67,ilha_das_lendas,2.04,,cblol_academy,match_winner,2024_07_22
Leage of Legends,gen_g_global_academy_bnk_fearx_youth_jul_23,jul_23,gen_g_global_academy,2.55,bnk_fearx_youth,1.43,,lck_cl,match_winner,2024_07_22
Leage of Legends,weibo_bilibili_jul_23,jul_23,weibo,4.39,bilibili,1.20,,lpl,match_winner,2024_07_22
