sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Dota 2,nouns_mouz_jul_25,jul_25,nouns,1.69,mouz,2.11,,elite_league,match_winner,2024_07_25
Dota 2,1win_beastcoast_jul_25,jul_25,1win,1.74,beastcoast,2.05,,elite_league,match_winner,2024_07_25
Leage of Legends,kt_rolster_challengers_t1_academy_jul_25,jul_25,kt_rolster_challengers,1.33,t1_academy,2.93,,lck_cl,match_winner,2024_07_25
Leage of Legends,bnk_fearx_youth_nongshim_redforce_academy_jul_25,jul_25,bnk_fearx_youth,1.28,nongshim_redforce_academy,3.23,,lck_cl,match_winner,2024_07_25
Leage of Legends,rare_atom_team_we_jul_25,jul_25,rare_atom,2.02,team_we,1.77,,lpl,match_winner,2024_07_25
Leage of Legends,kwangdong_freecs_hanwha_life_jul_25,jul_25,kwangdong_freecs,7.30,hanwha_life,1.08,,lck,match_winner,2024_07_25
Leage of Legends,thundertalk_young_miaojing_jul_25,jul_25,thundertalk_young,2.29,miaojing,1.52,,ldl,match_winner,2024_07_25
Leage of Legends,invictus_royal_never_give_up_jul_25,jul_25,invictus,1.49,royal_never_give_up,2.56,,lpl,match_winner,2024_07_25
Leage of Legends,dplus_kia_drx_jul_25,jul_25,dplus_kia,1.08,drx,7.17,,lck,match_winner,2024_07_25
Leage of Legends,weibo_lgd_jul_25,jul_25,weibo,1.28,lgd,3.58,,lpl,match_winner,2024_07_25
Leage of Legends,papara_supermassive_boostgate_jul_25,jul_25,papara_supermassive,1.05,boostgate,7.29,,tcl,match_winner,2024_07_25
Leage of Legends,bds_academy_karmine_corp_blue_jul_25,jul_25,bds_academy,1.57,karmine_corp_blue,2.20,,lfl,match_winner,2024_07_25
Leage of Legends,bar_a_los_heretics_jul_25,jul_25,bar_a,2.50,los_heretics,1.45,,lvp_superliga,match_winner,2024_07_25
Leage of Legends,sk_prime_unicorns_of_love_sexy_edition_jul_25,jul_25,sk_prime,1.52,unicorns_of_love_sexy_edition,2.30,,prime_league_1st_division,match_winner,2024_07_25
Leage of Legends,forsaken_grp_jul_25,jul_25,forsaken,1.08,grp,6.05,,ultraliga,match_winner,2024_07_25
Leage of Legends,nord_dmg_jul_25,jul_25,nord,1.16,dmg,4.36,,nlc,match_winner,2024_07_25
Leage of Legends,gen_g_global_academy_hanwha_life_challengers_jul_26,jul_26,gen_g_global_academy,2.10,hanwha_life_challengers,1.62,,lck_cl,match_winner,2024_07_25
Leage of Legends,kwangdong_freecs_challengers_oksavingsbank_brion_challengers_jul_26,jul_26,kwangdong_freecs_challengers,1.40,oksavingsbank_brion_challengers,2.66,,lck_cl,match_winner,2024_07_25
Leage of Legends,oh_my_god_thundertalk_jul_26,jul_26,oh_my_god,2.02,thundertalk,1.77,,lpl,match_winner,2024_07_25
Leage of Legends,fearx_oksavingsbank_brion_jul_26,jul_26,fearx,1.33,oksavingsbank_brion,3.14,,lck,match_winner,2024_07_25
Leage of Legends,bilibili_junior_ultra_prime_academy_jul_26,jul_26,bilibili_junior,2.26,ultra_prime_academy,1.54,,ldl,match_winner,2024_07_25
Leage of Legends,anyone_s_legend_top_esports_jul_26,jul_26,anyone_s_legend,2.95,top_esports,1.39,,lpl,match_winner,2024_07_25
Leage of Legends,kt_rolster_t1_jul_26,jul_26,kt_rolster,2.36,t1,1.55,,lck,match_winner,2024_07_25
Leage of Legends,bilibili_ninjas_in_pyjamas_jul_26,jul_26,bilibili,1.10,ninjas_in_pyjamas,6.66,,lpl,match_winner,2024_07_25
Leage of Legends,deep_cross_psg_talon_jul_26,jul_26,deep_cross,9.30,psg_talon,1.03,,pcs,match_winner,2024_07_25
Leage of Legends,bds_karmine_corp_jul_26,jul_26,bds,1.54,karmine_corp,2.39,,lec,match_winner,2024_07_25
Leage of Legends,dsyre_macko_jul_26,jul_26,dsyre,3.83,macko,1.19,,lit,match_winner,2024_07_25
Valorant,zol_oasis_jul_25,jul_25,zol,2.58,oasis,1.43,,challengers_philippines,match_winner,2024_07_25
Valorant,acend_gonext_jul_25,jul_25,acend,2.22,gonext,1.57,,challengers_east,match_winner,2024_07_25
Valorant,diamant_trashcan_jul_25,jul_25,diamant,1.55,trashcan,2.20,,challengers_east,match_winner,2024_07_25
Valorant,stellae_red_canids_jul_25,jul_25,stellae,3.16,red_canids,1.30,,challengers_brazil,match_winner,2024_07_25
Valorant,sad_tsm_jul_25,jul_25,sad,1.90,tsm,1.78,,challengers_north_america,match_winner,2024_07_25
Valorant,2game_tbk_jul_25,jul_25,2game,1.84,tbk,1.84,,challengers_brazil,match_winner,2024_07_25
Valorant,dsyre_novo_jul_26,jul_26,dsyre,1.06,novo,7.61,,challengers_italy,match_winner,2024_07_25
Valorant,galorys_the_7_jul_26,jul_26,galorys,2.51,the_7,1.45,,challengers_brazil,match_winner,2024_07_25
Valorant,sengoku_fennel_jul_27,jul_27,sengoku,2.51,fennel,1.45,,challengers_japan,match_winner,2024_07_25
Valorant,g2_paper_rex_aug_1,aug_1,g2,1.90,paper_rex,1.74,,champions,match_winner,2024_07_25
Valorant,drx_kru_aug_1,aug_1,drx,1.49,kru,2.32,,champions,match_winner,2024_07_25
Valorant,vitality_trace_aug_1,aug_1,vitality,1.09,trace,5.50,,champions,match_winner,2024_07_25
