sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Dota 2,tea_dragon_jul_15,jul_15,tea,1.47,dragon,13.74,2.80,lb_masters,match_winner_1x2_,2024_07_15
Dota 2,nightshade_dandelions_jul_15,jul_15,nightshade,3.78,dandelions,3.21,1.86,res_regional_series_europe,match_winner_1x2_,2024_07_15
Dota 2,yellow_submarine_night_pulse_jul_15,jul_15,yellow_submarine,2.35,night_pulse,5.52,1.96,lb_masters,match_winner_1x2_,2024_07_15
Dota 2,level_up_one_move_jul_15,jul_15,level_up,3.88,one_move,3.14,1.86,lb_masters,match_winner_1x2_,2024_07_15
Dota 2,night_pulse_twisted_minds_jul_15,jul_15,night_pulse,2.99,twisted_minds,4.09,1.86,res_regional_series_europe,match_winner_1x2_,2024_07_15
Dota 2,wbg_xg_falcons_jul_16,jul_16,wbg_xg,3.12,falcons,1.34,,riyadh_masters,match_winner,2024_07_15
Dota 2,gaimin_gladiators_entity_jul_16,jul_16,gaimin_gladiators,1.86,entity,1.90,,riyadh_masters,match_winner,2024_07_15
Dota 2,liquid_spirit_jul_16,jul_16,liquid,2.19,spirit,1.64,,riyadh_masters,match_winner,2024_07_15
Dota 2,og_tundra_jul_16,jul_16,og,2.64,tundra,1.46,,riyadh_masters,match_winner,2024_07_15
Leage of Legends,oh_my_god_invictus_jul_15,jul_15,oh_my_god,1.37,invictus,2.98,,lpl,match_winner,2024_07_15
Leage of Legends,bliss_antic_jul_15,jul_15,bliss,1.12,antic,4.87,,lco,match_winner,2024_07_15
Leage of Legends,fearx_youth_gen_g_global_academy_jul_15,jul_15,fearx_youth,1.16,gen_g_global_academy,4.40,,lck_cl,match_winner,2024_07_15
Leage of Legends,anyone_s_legend_young_invictus_young_jul_15,jul_15,anyone_s_legend_young,4.14,invictus_young,1.18,,ldl,match_winner,2024_07_15
Leage of Legends,lgd_bilibili_jul_15,jul_15,lgd,8.10,bilibili,1.07,,lpl,match_winner,2024_07_15
